phrase,verdict,flag,explanation,alternatives,sources,created_at,updated_at
cakewalk,problematic,🚩,"Originates from dance contests on slave plantations where enslaved people competed for cake prizes, trivializing their struggle under oppressive conditions.","easy task|simple job|breeze|no-brainer","https://www.mentalfloss.com/article/625916/racist-origins-common-phrases|Colorado State University inclusive language guide",2025-08-30T22:30:00Z,2025-08-30T22:30:00Z
sold down the river,problematic,🚩,"Refers to the literal practice of selling enslaved people down the Mississippi River to harsher plantation conditions in the South.","betrayed|double-crossed|deceived|backstabbed","https://www.cnn.com/2020/07/06/us/racism-words-phrases-slavery-trnd/index.html|Mississippi Encyclopedia",2025-08-30T22:30:00Z,2025-08-30T22:30:00Z
peanut gallery,problematic,🚩,"Refers to the cheapest theater seats where Black Americans were segregated during vaudeville era, perpetuating racial segregation.","hecklers|critics|cheap seats|back row","https://abcnews.go.com/Politics/commonly-terms-racist-origins/story?id=71840410|Stuart Berg Flexner etymology research",2025-08-30T22:30:00Z,2025-08-30T22:30:00Z
grandfathered in,problematic,🚩,"Originates from Jim Crow-era laws that exempted voters whose grandfathers could vote before the Civil War, effectively disenfranchising Black Americans.","legacy status|exempted|existing rights maintained|pre-approved","https://www.cbc.ca/news/canada/ottawa/words-and-phrases-commonly-used-offensive-english-language-1.6252274",2025-08-30T22:30:00Z,2025-08-30T22:30:00Z
gypped,problematic,🚩,"Derives from 'Gypsy,' a derogatory term for Romani people, perpetuating harmful stereotypes about theft and dishonesty.","cheated|swindled|ripped off|scammed","https://www.babbel.com/en/magazine/common-racist-words-phrases|Anti-racism educational materials",2025-08-30T22:30:00Z,2025-08-30T22:30:00Z
long time no see,problematic,🚩,"Developed to mock Asian American speech patterns and reinforce 'forever foreigner' stereotypes, particularly during anti-Asian immigration periods.","it's been a while|haven't seen you in ages|been too long","https://cvmbs.source.colostate.edu/mind-your-metaphors-idioms-and-phrases-race-edition/|Asian American historical linguistics research",2025-08-30T22:30:00Z,2025-08-30T22:30:00Z
spirit animal,problematic,🚩,"Appropriates sacred Indigenous spiritual beliefs and trivializes important cultural concepts into casual expressions.","kindred spirit|inspiration|role model|personal icon","https://nbcuacademy.com/harmful-ableist-racist-language/|Indigenous cultural appropriation studies",2025-08-30T22:30:00Z,2025-08-30T22:30:00Z
powwow,problematic,🚩,"Appropriates sacred Native American ceremonial gatherings and reduces them to casual business meetings.","meeting|huddle|discussion|conference","https://nbcuacademy.com/harmful-ableist-racist-language/|Linux Foundation Inclusive Language Guide 2025",2025-08-30T22:30:00Z,2025-08-30T22:30:00Z
bottom of the totem pole,problematic,🚩,"Misrepresents Indigenous culture - bottom figures on totem poles are actually positions of honor, not lowest importance.","lowest priority|entry level|starting position|least important","https://nbcuacademy.com/harmful-ableist-racist-language/|Indigenous cultural studies",2025-08-30T22:30:00Z,2025-08-30T22:30:00Z
indian giver,problematic,🚩,"Perpetuates harmful stereotypes about Indigenous people being untrustworthy or dishonest in their dealings.","someone who takes back a gift|person who changes their mind","https://www.mentalfloss.com/article/625916/racist-origins-common-phrases|Thomas Hutchinson historical documentation",2025-08-30T22:30:00Z,2025-08-30T22:30:00Z
